Field Name,Occurrence Count,Type
X_(ETRS89_lon),2,Duplicate
Y_(ETRS89_lat),2,Duplicate
counttime,2,Duplicate
30.09.2025,2,Duplicate
31.12.2025,2,Duplicate
4.Qu. 2025,2,Duplicate
Leistungsart,2,Duplicate
Vergabestelle,2,Duplicate
stimmzettelposition,2,Duplicate
stimmen,2,Duplicate
gewaehlt,2,Duplicate
Oeffnungszeiten,2,Duplicate
long,2,Duplicate
Kandidat,2,Duplicate
Woche,2,Duplicate
Montag,2,Duplicate
Dienstag,2,Duplicate
Mittwoch,2,Duplicate
Donnerstag,2,Duplicate
Freitag,2,Duplicate
wahlberechtigte,2,Duplicate
waehler-gesamt,2,Duplicate
11.09.1994,2,Duplicate
19.09.1999,2,Duplicate
19.09.2004,2,Duplicate
30.08.2009,2,Duplicate
31.08.2014,2,Duplicate
01.09.2019,2,Duplicate
01.09.2024,2,Duplicate
Anzahl Befragte,2,Duplicate
Wahl_text,2,Duplicate
parkingfacilityoccupancy,2,Duplicate
parkingfacilitystatus,2,Duplicate
parkingfacilitystatustime,2,Duplicate
totalnumoccupiedparkingspaces,2,Duplicate
totalnumvacantparkingspaces,2,Duplicate
totalparkingcapacityoverride,2,Duplicate
publicationtime,2,Duplicate
updateintervalmin,2,Duplicate
Einwohner_insgesamt,2,Duplicate
Einwohner_Ukrainer,2,Duplicate
Einwohner_Ukrainer_männlich,2,Duplicate
Einwohner_Ukrainer_weiblich,2,Duplicate
Einwohner_Ukrainer-nach-24022022-zugezogen,2,Duplicate
Einwohner_Ukrainer-nach-24022022-zugezogen_männlich,2,Duplicate
Einwohner_Ukrainer-nach-24022022-zugezogen_weiblich,2,Duplicate
Einwohnerregister 2019,2,Duplicate
Einwohnerregister 2020,2,Duplicate
Einwohnerregister 2021,2,Duplicate
Hauptvariante 2018,2,Duplicate
Hauptvariante 2019,2,Duplicate
Hauptvariante 2021,2,Duplicate
SJ21/22,2,Duplicate
SJ22/23,2,Duplicate
SJ23/24,2,Duplicate
SJ24/25,2,Duplicate
kivan_id,2,Duplicate
name_einr,2,Duplicate
hnr_alles,2,Duplicate
sbz,2,Duplicate
ortsteil,2,Duplicate
gesamtkap,2,Duplicate
art_einr,2,Duplicate
platz_kat,2,Duplicate
status,2,Duplicate
traeg_name,2,Duplicate
frei_traeg,2,Duplicate
traeg_tel,2,Duplicate
ap_anrede,2,Duplicate
ap_vname,2,Duplicate
ap_nname,2,Duplicate
ap_tel,2,Duplicate
ap_fax,2,Duplicate
ap_email,2,Duplicate
link,2,Duplicate
foto,2,Duplicate
gebiet,2,Duplicate
ot,2,Duplicate
31.03.2003,2,Duplicate
30.06.2003,2,Duplicate
30.09.2003,2,Duplicate
31.12.2003,2,Duplicate
31.03.2004,2,Duplicate
30.06.2004,2,Duplicate
30.09.2004,2,Duplicate
31.12.2004,2,Duplicate
stadtbzrk,2,Duplicate
beginn,2,Duplicate
ende,2,Duplicate
neu,2,Duplicate
sparte,2,Duplicate
sperrart,2,Duplicate
meldung,2,Duplicate
16.10.1994,2,Duplicate
27.09.1998,2,Duplicate
22.09.2002,2,Duplicate
18.09.2005,2,Duplicate
27.09.2009,2,Duplicate
22.09.2013,2,Duplicate
24.09.2017,2,Duplicate
26.09.2021,2,Duplicate
23.02.2025,2,Duplicate
2026,2,Duplicate
2027,2,Duplicate
2028,2,Duplicate
2029,2,Duplicate
2030,2,Duplicate
2031,2,Duplicate
2032,2,Duplicate
2033,2,Duplicate
2034,2,Duplicate
2035,2,Duplicate
2036,2,Duplicate
2037,2,Duplicate
2038,2,Duplicate
2039,2,Duplicate
2040,2,Duplicate
datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;B2;C;D;E;E1;E1_1;E1_2;E1_3;E1_4;E1_5;E1_6;E1_7;E1_8;E1_9;E1_10;E1_11;E2;E2_1;E2_2;E2_3;E2_4;E2_5;E2_6;E2_7;E2_8;E2_9;E2_10;E2_11;E3;E3_1;E3_2;E3_3;E3_4;E3_5;E3_6;E3_7;E3_8;E3_9;E3_10;E3_11;E4;E4_1;E4_2;E4_3;E4_4;E4_5;E4_6;E4_7;E4_8;E4_9;E4_10;E4_11;E5;E5_1;E5_2;E5_3;E5_4;E5_5;E5_6;E5_7;E5_8;E5_9;E5_10;E5_11;E6;E6_1;E6_2;E6_3;E6_4;E6_5;E6_6;E6_7;E6_8;E6_9;E6_10;E6_11;E7;E7_1;E7_2;E8;E8_1;E9;E9_1;E10;E10_1;E10_2;E11;E11_1;E12;E12_1;E13;E13_1;E13_2;E13_3;E14;E14_1;E15;E15_1,2,Duplicate
data,2,Duplicate
pagination.totalElements,2,Duplicate
pagination.elementsPerPage,2,Duplicate
pagination.currentPage,2,Duplicate
pagination.totalPages,2,Duplicate
links.self,2,Duplicate
links.last,2,Duplicate
links.next,2,Duplicate
typ,2,Duplicate
Staat,2,Duplicate
Wohndauer,2,Duplicate
Barrierefreiheit,2,Duplicate
Vorhaben,2,Duplicate
B2,2,Duplicate
E1,2,Duplicate
E1_1,2,Duplicate
E1_2,2,Duplicate
E1_3,2,Duplicate
E1_4,2,Duplicate
E1_5,2,Duplicate
E1_6,2,Duplicate
E1_7,2,Duplicate
E1_8,2,Duplicate
E1_9,2,Duplicate
E1_10,2,Duplicate
E1_11,2,Duplicate
E2,2,Duplicate
E2_1,2,Duplicate
E2_2,2,Duplicate
E2_3,2,Duplicate
E2_4,2,Duplicate
E2_5,2,Duplicate
E2_6,2,Duplicate
E2_7,2,Duplicate
E2_8,2,Duplicate
E2_9,2,Duplicate
E2_10,2,Duplicate
E2_11,2,Duplicate
E3,2,Duplicate
E3_1,2,Duplicate
E3_2,2,Duplicate
E3_3,2,Duplicate
E3_4,2,Duplicate
E3_5,2,Duplicate
E3_6,2,Duplicate
E3_7,2,Duplicate
E3_8,2,Duplicate
E3_9,2,Duplicate
E3_10,2,Duplicate
E3_11,2,Duplicate
E4,2,Duplicate
E4_1,2,Duplicate
E4_2,2,Duplicate
E4_3,2,Duplicate
E4_4,2,Duplicate
E4_5,2,Duplicate
E4_6,2,Duplicate
E4_7,2,Duplicate
E4_8,2,Duplicate
E4_9,2,Duplicate
E4_10,2,Duplicate
E4_11,2,Duplicate
E5,2,Duplicate
E5_1,2,Duplicate
E5_2,2,Duplicate
E5_3,2,Duplicate
E5_4,2,Duplicate
E5_5,2,Duplicate
E5_6,2,Duplicate
E5_7,2,Duplicate
E5_8,2,Duplicate
E5_9,2,Duplicate
E5_10,2,Duplicate
E5_11,2,Duplicate
E6,2,Duplicate
E6_1,2,Duplicate
E6_2,2,Duplicate
E6_3,2,Duplicate
E6_4,2,Duplicate
E6_5,2,Duplicate
E6_6,2,Duplicate
E6_7,2,Duplicate
E6_8,2,Duplicate
E6_9,2,Duplicate
E6_10,2,Duplicate
E6_11,2,Duplicate
E7,2,Duplicate
E7_1,2,Duplicate
E7_2,2,Duplicate
E8,2,Duplicate
E8_1,2,Duplicate
E9,2,Duplicate
E9_1,2,Duplicate
E10,2,Duplicate
E10_1,2,Duplicate
E10_2,2,Duplicate
E11,2,Duplicate
E11_1,2,Duplicate
E12,2,Duplicate
E12_1,2,Duplicate
E13,2,Duplicate
E13_1,2,Duplicate
E13_2,2,Duplicate
E13_3,2,Duplicate
E14,2,Duplicate
E14_1,2,Duplicate
E15,2,Duplicate
E15_1,2,Duplicate
Breitengrad,2,Duplicate
Längengrad,2,Duplicate
Bezirkshaushaltsplan Tempelhof-Schöneberg 2016/2017,2,Duplicate
bezeichnung_des_vorhabens,2,Duplicate
zusammenfassung_des_vorhabens,2,Duplicate
postleitzahl,2,Duplicate
land,2,Duplicate
 statistik  Berlin Brandenburg,2,Duplicate
1 Verdienste (Bruttostundenverdienste) von Frauen und Männern im Jahr 2022 in Berlin in den unterschiedlichen Altersgruppen (Quelle: Verdiensterhebung Referenzmonat April 2022),2,Duplicate
Schulzweig,2,Duplicate
Schülergruppe,2,Duplicate
Unterrichtsform,2,Duplicate
Institution,2,Duplicate
Unnamed: 18,2,Duplicate
Unnamed: 19,2,Duplicate
Unnamed: 20,2,Duplicate
Unnamed: 21,2,Duplicate
Unnamed: 22,2,Duplicate
Unnamed: 25,2,Duplicate
Schulnummer,2,Duplicate
Steuerart,2,Duplicate
Ertragshoheit,2,Duplicate
"PSA 
Nr.",2,Duplicate
Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2019,2,Duplicate
Baumaßnahme,2,Duplicate
version,2,Duplicate
channel.title,2,Duplicate
channel.link,2,Duplicate
channel.description,2,Duplicate
channel.managingEditor,2,Duplicate
channel.language,2,Duplicate
channel.items,2,Duplicate
Messe,2,Duplicate
Ansprechpartner,2,Duplicate
Bruttoendenergieverbrauch nach Bereichen in Terajoule (Stand 4.6.18),2,Duplicate
X-Koordinate,2,Duplicate
Y-Koordinate,2,Duplicate
Ansatz 2016 in €,2,Duplicate
Ansatz 2017 in €,2,Duplicate
"1 Bevölkerung in Berlin 2020 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)",2,Duplicate
Erläuterungen zu den Tabellen,2,Duplicate
Postleitzahl,2,Duplicate
telefon,2,Duplicate
angebote,2,Duplicate
bild,2,Duplicate
Nr,2,Duplicate
attributes.OBJEKTBEZEICHNUNG,2,Duplicate
attributes.OBJEKTNUMMER,2,Duplicate
attributes.ID1,2,Duplicate
attributes.BARRIEREARM,2,Duplicate
attributes.AKTDATUM,2,Duplicate
attributes.BISDATUM,2,Duplicate
attributes.NAME_AMTL,2,Duplicate
attributes.NAME_ABKZ,2,Duplicate
attributes.LAGE,2,Duplicate
attributes.KAPAZITAET,2,Duplicate
attributes.KOSTEN,2,Duplicate
attributes.PROFIL1,2,Duplicate
attributes.PROFIL2,2,Duplicate
attributes.STADTTS,2,Duplicate
attributes.STADTTNAME,2,Duplicate
attributes.ADRESSE,2,Duplicate
attributes.OBJEKTART,2,Duplicate
attributes.UMFANG,2,Duplicate
attributes.STADTTEIL,2,Duplicate
attributes.NSONR,2,Duplicate
attributes.BEHOERDE,2,Duplicate
attributes.SG_NR,2,Duplicate
attributes.RVO_DATUM,2,Duplicate
attributes.RVO_1,2,Duplicate
attributes.RVO_2,2,Duplicate
"
Institution",1,Unique
   Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - 25 bis unter 32,1,Unique
   Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - 32 bis unter 38,1,Unique
   Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - unter 25,1,Unique
   Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung - Praktikanten,1,Unique
  Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung -  Angestellte befristet,1,Unique
" ""2023 Virtuelle Besucher""",1,Unique
 Bezirk-ID,1,Unique
 Bruttostromverbrauch) in Prozent (Stand 4.6.18),1,Unique
 Einnahmen Januar 2024 (T EUR),1,Unique
 Einnahmen Januar 2025 (T EUR),1,Unique
 Endenergieintensität (Stand 4.6.18),1,Unique
 Endenergieproduktivität,1,Unique
 Energiebilanz Baden-Württemberg 1990,1,Unique
 Hauptvariante 2020,1,Unique
 Jahr 2022,1,Unique
 Primärenergieintensität,1,Unique
 Primärenergieverbrauch je Einwohner,1,Unique
 Stromerzeugung,1,Unique
 Virtueller-Stein,1,Unique
 an dem ich mich beteiligen möchte,1,Unique
 temperaturbereinigt,1,Unique
"""Haltestelle"",""Standort"",""Uhrzeit"",""Januar"",""Februar"",""MÃ¤rz"",""April"",""Mai"",""Juni""",1,Unique
(Alle),1,Unique
010 Wedding,1,Unique
02.12.1990,1,Unique
032 Grunewald,1,Unique
042 Neukölln,1,Unique
06.05.1990,1,Unique
077 Buch,1,Unique
085 Friedrichshagen,1,Unique
1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2020 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik),1,Unique
1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2021 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik),1,Unique
1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2022 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik),1,Unique
1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2023 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik),1,Unique
1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2020 nach Altersgruppen(1) (Quelle: Mikrozensus),1,Unique
1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2021 nach Altersgruppen(1) (Quelle: Mikrozensus),1,Unique
1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2022 nach Altersgruppen(1) (Quelle: Mikrozensus),1,Unique
1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2023 nach Altersgruppen(1) (Quelle: Mikrozensus),1,Unique
1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2020 (Quelle: amtliche Bevölkerungsfortschreibung),1,Unique
1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2021 (Quelle: amtliche Bevölkerungsfortschreibung),1,Unique
1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2022 (Quelle: amtliche Bevölkerungsfortschreibung),1,Unique
1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2023 (Quelle: amtliche Bevölkerungsfortschreibung),1,Unique
"1 Bevölkerung in Berlin 2021 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)",1,Unique
"1 Bevölkerung in Berlin 2022 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)",1,Unique
"1 Bevölkerung in Berlin 2023 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)",1,Unique
1 Erwerbsquoten(1) 2020 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus),1,Unique
1 Erwerbsquoten(1) 2021 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus),1,Unique
1 Erwerbsquoten(1) 2022 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus),1,Unique
1 Erwerbsquoten(1) 2023 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus),1,Unique
1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin (1)(2) 2016 bis 2023 (Quelle: Hochschulstatistik),1,Unique
1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin 2015 bis 202 (Quelle: Hochschulstatistik),1,Unique
1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin 2015 bis 2020 (Quelle: Hochschulstatistik),1,Unique
1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin 2015 bis 2022 (Quelle: Hochschulstatistik),1,Unique
"1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2019/20 nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)",1,Unique
"1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2020/21 nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)",1,Unique
"1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2021/22 (18) nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)",1,Unique
"1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2022/23 (18) nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)",1,Unique
1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2020 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik),1,Unique
1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2021 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik),1,Unique
1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2022 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik),1,Unique
1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2023 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik),1,Unique
1 Verdienste (Bruttostundenverdienste) von Frauen und Männern im Jahr 2023 in Berlin in den unterschiedlichen Altersgruppen (Quelle: Verdiensterhebung Referenzmonat April 2023),1,Unique
1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2020 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus),1,Unique
1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2021 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus),1,Unique
1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2022 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus),1,Unique
1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2023 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus),1,Unique
1. Quartal,1,Unique
117 Schildhornstraße,1,Unique
124 Mariendorfer Damm,1,Unique
14.10.1990,1,Unique
144 Silbersteinstraße,1,Unique
1455466600,1,Unique
1597492200,1,Unique
1600498200,1,Unique
171 Mitte,1,Unique
174 Frankfurter Allee,1,Unique
190 Leipziger Straße,1,Unique
2. Quartal,1,Unique
2013-04 pi,1,Unique
2013-04 pv,1,Unique
2013-05 pi,1,Unique
2013-05 pv,1,Unique
2013-06 pi,1,Unique
2013-06 pv,1,Unique
2013-07 pi,1,Unique
2013-07 pv,1,Unique
2013-08 pi,1,Unique
2013-08 pv,1,Unique
2013-09 pi,1,Unique
2013-09 pv,1,Unique
2013-10 pi,1,Unique
2013-10 pv,1,Unique
2013-11 pi,1,Unique
2013-11 pv,1,Unique
2013-12 pi,1,Unique
2013-12 pv,1,Unique
2014-01 pi,1,Unique
2014-01 pv,1,Unique
2014-02 pi,1,Unique
2014-02 pv,1,Unique
2014-03 pi,1,Unique
2014-03 pv,1,Unique
2014-04 pi,1,Unique
2014-04 pv,1,Unique
2014-05 pi,1,Unique
2014-05 pv,1,Unique
2014-06 pi,1,Unique
2014-06 pv,1,Unique
2014-07 pi,1,Unique
2014-07 pv,1,Unique
2014-08 pi,1,Unique
2014-08 pv,1,Unique
2014-09 pi,1,Unique
2014-09 pv,1,Unique
2014-10 pi,1,Unique
2014-10 pv,1,Unique
2014-11 pi,1,Unique
2014-11 pv,1,Unique
2014-12 pi,1,Unique
2014-12 pv,1,Unique
2015-01 pi,1,Unique
2015-01 pv,1,Unique
2015-02 pi,1,Unique
2015-02 pv,1,Unique
2015-03 pi,1,Unique
2015-03 pv,1,Unique
2015-04 pi,1,Unique
2015-04 pv,1,Unique
2015-05 pi,1,Unique
2015-05 pv,1,Unique
2015-06 pi,1,Unique
2015-06 pv,1,Unique
2015-07 pi,1,Unique
2015-07 pv,1,Unique
2015-08 pi,1,Unique
2015-08 pv,1,Unique
2015-09 pi,1,Unique
2015-09 pv,1,Unique
2015-10 pi,1,Unique
2015-10 pv,1,Unique
2015-11 pi,1,Unique
2015-11 pv,1,Unique
2015-12 pi,1,Unique
2015-12 pv,1,Unique
2016-01 pi,1,Unique
2016-01 pv,1,Unique
2016-02 pi,1,Unique
2016-02 pv,1,Unique
2016-03 pi,1,Unique
2016-03 pv,1,Unique
2016-04 pi,1,Unique
2016-04 pv,1,Unique
2016-05 pi,1,Unique
2016-05 pv,1,Unique
2016-06 pi,1,Unique
2016-06 pv,1,Unique
2016-07 pi,1,Unique
2016-07 pv,1,Unique
2016-08 pi,1,Unique
2016-08 pv,1,Unique
2016-09 pi,1,Unique
2016-09 pv,1,Unique
2016-10 pi,1,Unique
2016-10 pv,1,Unique
2016-11 pi,1,Unique
2016-11 pv,1,Unique
2016-12 pi,1,Unique
2016-12 pv,1,Unique
2017-01 pi,1,Unique
2017-01 pv,1,Unique
2017-02 pi,1,Unique
2017-02 pv,1,Unique
2017-03 pi,1,Unique
2017-03 pv,1,Unique
2017-04 pi,1,Unique
2017-04 pv,1,Unique
2017-05 pi,1,Unique
2017-05 pv,1,Unique
2017-06 pi,1,Unique
2017-06 pv,1,Unique
2017-07 pi,1,Unique
2017-07 pv,1,Unique
2017-08 pi,1,Unique
2017-08 pv,1,Unique
2017-09 pi,1,Unique
2017-09 pv,1,Unique
2017-10 pi,1,Unique
2017-10 pv,1,Unique
2017-11 pi,1,Unique
2017-11 pv,1,Unique
2017-12 pi,1,Unique
2017-12 pv,1,Unique
2018-01 pi,1,Unique
2018-01 pv,1,Unique
2018-02 pi,1,Unique
2018-02 pv,1,Unique
2018-03 pi,1,Unique
2018-03 pv,1,Unique
2018-04 pi,1,Unique
2018-04 pv,1,Unique
2018-05 pi,1,Unique
2018-05 pv,1,Unique
2018-06 pi,1,Unique
2018-06 pv,1,Unique
2018-07 pi,1,Unique
2018-07 pv,1,Unique
2018-08 pi,1,Unique
2018-08 pv,1,Unique
2018-09 pi,1,Unique
2018-09 pv,1,Unique
2018-10 pi,1,Unique
2018-10 pv,1,Unique
2018-11 pi,1,Unique
2018-11 pv,1,Unique
2018-12 pi,1,Unique
2018-12 pv,1,Unique
2022 Besucher,1,Unique
2022 Entleihungen,1,Unique
2022 Virtuelle Besucher,1,Unique
2023 Besucher,1,Unique
2023 Entleihungen,1,Unique
221 Karl-Marx-Straße,1,Unique
24 h/7 Tage,1,Unique
3. Quartal,1,Unique
30.06.2000,1,Unique
30.06.2001,1,Unique
30.06.2002,1,Unique
30.09.2000,1,Unique
30.09.2001,1,Unique
30.09.2002,1,Unique
31.03.2000,1,Unique
31.03.2001,1,Unique
31.03.2002,1,Unique
31.12.2000,1,Unique
31.12.2001,1,Unique
31.12.2002,1,Unique
4. Quartal,1,Unique
914504004.4401011,1,Unique
<?xml,1,Unique
A - Erwerb von Haus-/Wohneigentum/Bauland oder Erbschaft einer Immobilie; Angaben in Prozent,1,Unique
A-Woche_Abfahrt_(Uhrzeit),1,Unique
A-Woche_Ankunft_(Uhrzeit),1,Unique
ABO**,1,Unique
ALO-Quote: alle abh. ziv. EP - gesamt,1,Unique
ALO-Quote: alle ziv. EP - 15- bis unter 25-Jahre,1,Unique
ALO-Quote: alle ziv. EP - 55- bis unter 65-Jahre,1,Unique
ALO-Quote: alle ziv. EP - Ausländer,1,Unique
ALO-Quote: alle ziv. EP - Frauen,1,Unique
ALO-Quote: alle ziv. EP - Männer,1,Unique
ALO-Quote: alle ziv. EP - gesamt,1,Unique
AMR_Anträge,1,Unique
AMR_Ersteinreisen,1,Unique
AMR_Titel,1,Unique
ANGELEGT_AM,1,Unique
ART_DES_FAHRRADS,1,Unique
Abt,1,Unique
Abwasser_Temperatur,1,Unique
Abwasser_pH,1,Unique
"Aktiengesellschaften, KGaA",1,Unique
Algen,1,Unique
Alter_in_Jahren,1,Unique
Altersklasse,1,Unique
Amtliche Einwohnerzahl des statistischen Landesamtes Sachsen,1,Unique
Angezeigte Kurzarbeit - Beschäftigte,1,Unique
Angezeigte Kurzarbeit - geprüfte Anzeigen,1,Unique
Anmerkungen,1,Unique
"Ansatz 2010
 (in Tsd. EUR)",1,Unique
"Ansatz 2011
 (in Tsd. EUR)",1,Unique
Ansatz 2012 in €,1,Unique
Ansatz 2013 T€,1,Unique
Ansatz 2013 in €,1,Unique
Ansatz 2014 T€,1,Unique
Ansatz 2014 in €,1,Unique
Ansatz 2015 T€,1,Unique
Ansatz 2015 €,1,Unique
Ansatz 2018 in ,1,Unique
Ansatz 2019 in ,1,Unique
Ansatz 2020 in €,1,Unique
Ansatz 2021 in €,1,Unique
"Anteil Benotung ""nicht beurteilt""",1,Unique
"Anteil Benotung ""sehr gut""",1,Unique
"Anteil Benotung ""sehr schlecht""",1,Unique
Anteil Erneuerbarer Energieträger (Primärenergieverbrauch,1,Unique
Anteil Haushalte mit mittlerem Einkommen,1,Unique
Anteil Haushalte mit relativ geringem Einkommen - arm,1,Unique
Anteil Haushalte mit relativ hohem Einkommen - reich,1,Unique
Anteil MGH 21/22 in Prozent,1,Unique
Anteil MGH 22/23 in Prozent,1,Unique
Anteil MGH 23/24 in Prozent,1,Unique
Anteil MGH 24/25 in Prozent,1,Unique
Anteil Verfahren in Prozent,1,Unique
Anteil Vergabesumme in Prozent,1,Unique
Anteil Weg als Pkw-Mitfahrer,1,Unique
Anteil Weg als Pkw-Selbstfahrer,1,Unique
Anteil Weg mit Bus (Regionalverk.),1,Unique
Anteil Weg mit Bus (Stadtverk.),1,Unique
Anteil Weg mit Fahrrad,1,Unique
Anteil Weg mit Motorrad etc.,1,Unique
Anteil Weg mit S-Bahn/Bahn AG,1,Unique
Anteil Weg mit Straßenbahn,1,Unique
Anteil Weg mit sonstigem Verkehrsmittel,1,Unique
Anteil Weg nur zu Fuß,1,Unique
Anteil Wohnungen mit Bad,1,Unique
Anteil Wohnungen mit Balkon o.ä.,1,Unique
Anteil Wohnungen mit IWC,1,Unique
Anteil der Strom-/Wärmeerzeugung aus KWK an der Strom-/Wärmeerzeugung und Bruttostromverbrauch in % (Stand 4.6.18),1,Unique
Anteil erneuerbarer Energieträger am Bruttoendenergieverbrauch in Prozent (Stand 4.6.18),1,Unique
Antragsart,1,Unique
Antragsteller,1,Unique
Antragsteller/Antragsstellerin,1,Unique
Anzahl Anträge,1,Unique
Anzahl Arbeitslose - 15- bis unter 25 Jahre,1,Unique
Anzahl Arbeitslose - 55- und älter,1,Unique
Anzahl Arbeitslose - Ausländer,1,Unique
Anzahl Arbeitslose - Frauen,1,Unique
Anzahl Arbeitslose - Schwerbehinderte,1,Unique
Anzahl Arbeitslose - gesamt,1,Unique
Anzahl Arbeitslose- Langzeitarbeitslose,1,Unique
Anzahl SuS 21/22,1,Unique
Anzahl SuS 22/23,1,Unique
Anzahl SuS 23/24,1,Unique
Anzahl SuS 24/25,1,Unique
Anzahl SuS mit MGH 21/22,1,Unique
Anzahl SuS mit MGH 22/23,1,Unique
Anzahl SuS mit MGH 23/24,1,Unique
Anzahl SuS mit MGH 24/25,1,Unique
Anzahl leerstehende Wohnungen,1,Unique
Anzahl1,1,Unique
Anzahl_Anfragen,1,Unique
Anzahl_SBB_Anträge,1,Unique
Anzahl_eingereichte_Antraege,1,Unique
Anzeigen,1,Unique
Arbeitslose,1,Unique
Arbeitslosenanteil - Ausländer,1,Unique
Arbeitslosenanteil - Frauen,1,Unique
Arbeitslosenanteil - Langzeitarbeitslose,1,Unique
Arbeitsplatznummer,1,Unique
Art der Anmeldung,1,Unique
Art der Wärmeversorgung,1,Unique
Ateliers,1,Unique
Aufnahme (in Euro),1,Unique
"Aufnahmen, Über-, Rücktritte",1,Unique
Auftragseingang Hochbau insgesamt (in 1000 EUR),1,Unique
Auftragseingang Tiefbau insgesamt (in 1000 EUR),1,Unique
Auftragseingang Wohnungsbau (in 1000 EUR),1,Unique
Auftragseingang gewerblicher und industrieller Hochbau (in 1000 EUR),1,Unique
Auftragseingang gewerblicher und industrieller Tiefbau (in 1000 EUR),1,Unique
Auftragseingang öffentlicher Hochbau (in 1000 EUR),1,Unique
