Found 1843 _metadata.json files

================================================================================
FIELD STATISTICS
================================================================================
Total fields (from all files): 13712
Total check (non-dup + sum of dup counts): 13712
Unique fields: 2711
Duplicate fields (out of unique): 1120
Non-duplicate fields (out of unique): 1591

================================================================================
DUPLICATE FIELDS (sorted by frequency)
================================================================================

 353x | Jahr
   2x | E10_2
   2x | E11
   2x | E11_1
   2x | E12
   2x | E12_1
   2x | E13
   2x | E13_1
   2x | E13_2
   2x | E13_3
   2x | E14
   2x | E14_1
   2x | E15
   2x | E15_1
   2x | Breitengrad
   2x | Längengrad
   2x | Bezirkshaushaltsplan Tempelhof-Schöneberg 2016/2017
   2x | bezeichnung_des_vorhabens
   2x | zusammenfassung_des_vorhabens
   2x | postleitzahl
   2x | land
   2x |  statistik  Berlin Brandenburg
   2x | 1 Verdienste (Bruttostundenverdienste) von Frauen und Männern im Jahr 2022 in Berlin in den unterschiedlichen Altersgruppen (Quelle: Verdiensterhebung Referenzmonat April 2022)
   2x | Schulzweig
   2x | Schülergruppe
   2x | Unterrichtsform
   2x | Institution
   2x | Unnamed: 18
   2x | Unnamed: 19
   2x | Unnamed: 20
   2x | Unnamed: 21
   2x | Unnamed: 22
   2x | Unnamed: 25
   2x | Schulnummer
   2x | Steuerart
   2x | Ertragshoheit
   2x | PSA 
Nr.
   2x | Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2019
   2x | Baumaßnahme
   2x | version
   2x | channel.title
   2x | channel.link
   2x | channel.description
   2x | channel.managingEditor
   2x | channel.language
   2x | channel.items
   2x | Messe
   2x | Ansprechpartner
   2x | Bruttoendenergieverbrauch nach Bereichen in Terajoule (Stand 4.6.18)
   2x | X-Koordinate
   2x | Y-Koordinate
   2x | Ansatz 2016 in €
   2x | Ansatz 2017 in €
   2x | 1 Bevölkerung in Berlin 2020 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   2x | Erläuterungen zu den Tabellen
   2x | Postleitzahl
   2x | telefon
   2x | angebote
   2x | bild
   2x | Nr
   2x | attributes.OBJEKTBEZEICHNUNG
   2x | attributes.OBJEKTNUMMER
   2x | attributes.ID1
   2x | attributes.BARRIEREARM
   2x | attributes.AKTDATUM
   2x | attributes.BISDATUM
   2x | attributes.NAME_AMTL
   2x | attributes.NAME_ABKZ
   2x | attributes.LAGE
   2x | attributes.KAPAZITAET
   2x | attributes.KOSTEN
   2x | attributes.PROFIL1
   2x | attributes.PROFIL2
   2x | attributes.STADTTS
   2x | attributes.STADTTNAME
   2x | attributes.ADRESSE
   2x | attributes.OBJEKTART
   2x | attributes.UMFANG
   2x | attributes.STADTTEIL
   2x | attributes.NSONR
   2x | attributes.BEHOERDE
   2x | attributes.SG_NR
   2x | attributes.RVO_DATUM
   2x | attributes.RVO_1
   2x | attributes.RVO_2

================================================================================
NON-DUPLICATE FIELDS (sorted alphabetically)
================================================================================

   1x | 
Institution
   1x |    Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - 25 bis unter 32
   1x |    Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - 32 bis unter 38
   1x |    Pädagogisches Personal und Verwaltungspersonal - Wochenarbeitsstunden - unter 25
   1x |    Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung - Praktikanten
   1x |   Pädagogisches Personal und Verwaltungspersonal - berufliche Stellung -  Angestellte befristet
   1x |  "2023 Virtuelle Besucher"
   1x |  Bezirk-ID
   1x |  Bruttostromverbrauch) in Prozent (Stand 4.6.18)
   1x |  Einnahmen Januar 2024 (T EUR)
   1x |  Einnahmen Januar 2025 (T EUR)
   1x |  Endenergieintensität (Stand 4.6.18)
   1x |  Endenergieproduktivität
   1x |  Energiebilanz Baden-Württemberg 1990
   1x |  Hauptvariante 2020
   1x |  Jahr 2022
   1x |  Primärenergieintensität
   1x |  Primärenergieverbrauch je Einwohner
   1x |  Stromerzeugung
   1x |  Virtueller-Stein
   1x |  an dem ich mich beteiligen möchte
   1x |  temperaturbereinigt
   1x | "Haltestelle","Standort","Uhrzeit","Januar","Februar","MÃ¤rz","April","Mai","Juni"
   1x | (Alle)
   1x | 010 Wedding
   1x | 02.12.1990
   1x | 032 Grunewald
   1x | 042 Neukölln
   1x | 06.05.1990
   1x | 077 Buch
   1x | 085 Friedrichshagen
   1x | 1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2020 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik)
   1x | 1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2021 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik)
   1x | 1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2022 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik)
   1x | 1  Aus Berliner Krankenhäusern entlassene vollstationäre Behandlungsfälle(1) 2023 mit Wohnsitz in Berlin nach Diagnosekapiteln und Geschlecht (Quelle: Krankenhausstatistik)
   1x | 1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2020 nach Altersgruppen(1) (Quelle: Mikrozensus)
   1x | 1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2021 nach Altersgruppen(1) (Quelle: Mikrozensus)
   1x | 1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2022 nach Altersgruppen(1) (Quelle: Mikrozensus)
   1x | 1 Anzahl von Berlinerinnen und Berlinern mit einem Einpersonenhaushalt im Jahr 2023 nach Altersgruppen(1) (Quelle: Mikrozensus)
   1x | 1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2020 (Quelle: amtliche Bevölkerungsfortschreibung)
   1x | 1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2021 (Quelle: amtliche Bevölkerungsfortschreibung)
   1x | 1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2022 (Quelle: amtliche Bevölkerungsfortschreibung)
   1x | 1 Anzahl von Frauen und Männern in der Berliner Bevölkerung nach Alter und Staatsangehörigkeit am 31. Dezember 2023 (Quelle: amtliche Bevölkerungsfortschreibung)
   1x | 1 Bevölkerung in Berlin 2021 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1 Bevölkerung in Berlin 2022 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1 Bevölkerung in Berlin 2023 nach Quelle des überwiegenden Lebensunterhalts, Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1 Erwerbsquoten(1) 2020 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus)
   1x | 1 Erwerbsquoten(1) 2021 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus)
   1x | 1 Erwerbsquoten(1) 2022 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus)
   1x | 1 Erwerbsquoten(1) 2023 in Berlin nach Altersgruppen und Geschlecht (Quelle: Mikrozensus)
   1x | 1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin (1)(2) 2016 bis 2023 (Quelle: Hochschulstatistik)
   1x | 1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin 2015 bis 202 (Quelle: Hochschulstatistik)
   1x | 1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin 2015 bis 2020 (Quelle: Hochschulstatistik)
   1x | 1 Hauptberufliche Professoren:innen an staatlichen Hochschulen in Trägerschaft des Landes Berlin 2015 bis 2022 (Quelle: Hochschulstatistik)
   1x | 1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2019/20 nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)
   1x | 1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2020/21 nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)
   1x | 1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2021/22 (18) nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)
   1x | 1 Schulabgängerinnen und Schulabgänger an allgemeinbildenen Schulen 2022/23 (18) nach Art des Abschlusses (Quelle: Schulstatistik der Senatsverwaltung für Bildung, Jugend und Familie)
   1x | 1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2020 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik)
   1x | 1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2021 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik)
   1x | 1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2022 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik)
   1x | 1 Straftaten gegen die sexuelle Selbstbestimmung in Berlin 2010 bis 2023 (Erfasste Fälle; Quelle: Polizeiliche Kriminalstatistik)
   1x | 1 Verdienste (Bruttostundenverdienste) von Frauen und Männern im Jahr 2023 in Berlin in den unterschiedlichen Altersgruppen (Quelle: Verdiensterhebung Referenzmonat April 2023)
   1x | 1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2020 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2021 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2022 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1 Vollzeit- und Teilzeiterwerbstätige in Berlin 2023 nach Altersgruppen und Geschlecht(1) (Quelle: Mikrozensus)
   1x | 1. Quartal
   1x | 117 Schildhornstraße
   1x | 124 Mariendorfer Damm
   1x | 14.10.1990
   1x | 144 Silbersteinstraße
   1x | 1455466600
   1x | 1597492200
   1x | 1600498200
   1x | 171 Mitte
   1x | 174 Frankfurter Allee
   1x | 190 Leipziger Straße
   1x | 2. Quartal
   1x | 2013-04 pi
   1x | 2013-04 pv
   1x | 2013-05 pi
   1x | 2013-05 pv
   1x | 2013-06 pi
   1x | 2013-06 pv
   1x | 2013-07 pi
   1x | 2013-07 pv
   1x | 2013-08 pi
   1x | 2013-08 pv
   1x | 2013-09 pi
   1x | 2013-09 pv
   1x | 2013-10 pi
   1x | 2013-10 pv
   1x | 2013-11 pi
   1x | 2013-11 pv
   1x | 2013-12 pi
   1x | 2013-12 pv
   1x | 2014-01 pi
   1x | 2014-01 pv
   1x | 2014-02 pi
   1x | 2014-02 pv
   1x | 2014-03 pi
   1x | 2014-03 pv
   1x | 2014-04 pi
   1x | 2014-04 pv
   1x | 2014-05 pi
   1x | 2014-05 pv
   1x | 2014-06 pi
   1x | 2014-06 pv
   1x | 2014-07 pi
   1x | 2014-07 pv
   1x | 2014-08 pi
   1x | 2014-08 pv
   1x | 2014-09 pi
   1x | 2014-09 pv
   1x | 2014-10 pi
   1x | 2014-10 pv
   1x | 2014-11 pi
   1x | 2014-11 pv
   1x | 2014-12 pi
   1x | 2014-12 pv
   1x | 2015-01 pi
   1x | 2015-01 pv
   1x | 2015-02 pi
   1x | 2015-02 pv
   1x | 2015-03 pi
   1x | 2015-03 pv
   1x | 2015-04 pi
   1x | 2015-04 pv
   1x | 2015-05 pi
   1x | 2015-05 pv
   1x | 2015-06 pi
   1x | 2015-06 pv
   1x | 2015-07 pi
   1x | 2015-07 pv
   1x | 2015-08 pi
   1x | 2015-08 pv
   1x | 2015-09 pi
   1x | 2015-09 pv
   1x | 2015-10 pi
   1x | 2015-10 pv
   1x | 2015-11 pi
   1x | 2015-11 pv
   1x | 2015-12 pi
   1x | 2015-12 pv
   1x | 2016-01 pi
   1x | 2016-01 pv
   1x | 2016-02 pi
   1x | 2016-02 pv
   1x | 2016-03 pi
   1x | 2016-03 pv
   1x | 2016-04 pi
   1x | 2016-04 pv
   1x | 2016-05 pi
   1x | 2016-05 pv
   1x | 2016-06 pi
   1x | 2016-06 pv
   1x | 2016-07 pi
   1x | 2016-07 pv
   1x | 2016-08 pi
   1x | 2016-08 pv
   1x | 2016-09 pi
   1x | 2016-09 pv
   1x | 2016-10 pi
   1x | 2016-10 pv
   1x | 2016-11 pi
   1x | 2016-11 pv
   1x | 2016-12 pi
   1x | 2016-12 pv
   1x | 2017-01 pi
   1x | 2017-01 pv
   1x | 2017-02 pi
   1x | 2017-02 pv
   1x | 2017-03 pi
   1x | 2017-03 pv
   1x | 2017-04 pi
   1x | 2017-04 pv
   1x | 2017-05 pi
   1x | 2017-05 pv
   1x | 2017-06 pi
   1x | 2017-06 pv
   1x | 2017-07 pi
   1x | 2017-07 pv
   1x | 2017-08 pi
   1x | 2017-08 pv
   1x | 2017-09 pi
   1x | 2017-09 pv
   1x | 2017-10 pi
   1x | 2017-10 pv
   1x | 2017-11 pi
   1x | 2017-11 pv
   1x | 2017-12 pi
   1x | 2017-12 pv
   1x | 2018-01 pi
   1x | 2018-01 pv
   1x | 2018-02 pi
   1x | 2018-02 pv
   1x | 2018-03 pi
   1x | 2018-03 pv
   1x | 2018-04 pi
   1x | 2018-04 pv
   1x | 2018-05 pi
   1x | 2018-05 pv
   1x | 2018-06 pi
   1x | 2018-06 pv
   1x | 2018-07 pi
   1x | 2018-07 pv
   1x | 2018-08 pi
   1x | 2018-08 pv
   1x | 2018-09 pi
   1x | 2018-09 pv
   1x | 2018-10 pi
   1x | 2018-10 pv
   1x | 2018-11 pi
   1x | 2018-11 pv
   1x | 2018-12 pi
   1x | 2018-12 pv
   1x | 2022 Besucher
   1x | 2022 Entleihungen
   1x | 2022 Virtuelle Besucher
   1x | 2023 Besucher
   1x | 2023 Entleihungen
   1x | 221 Karl-Marx-Straße
   1x | 24 h/7 Tage
   1x | 3. Quartal
   1x | 30.06.2000
   1x | 30.06.2001
   1x | 30.06.2002
   1x | 30.09.2000
   1x | 30.09.2001
   1x | 30.09.2002
   1x | 31.03.2000
   1x | 31.03.2001
   1x | 31.03.2002
   1x | 31.12.2000
   1x | 31.12.2001
   1x | 31.12.2002
   1x | 4. Quartal
   1x | 914504004.4401011
   1x | <?xml
   1x | A - Erwerb von Haus-/Wohneigentum/Bauland oder Erbschaft einer Immobilie; Angaben in Prozent
   1x | A-Woche_Abfahrt_(Uhrzeit)
   1x | A-Woche_Ankunft_(Uhrzeit)
   1x | ABO**
   1x | ALO-Quote: alle abh. ziv. EP - gesamt
   1x | ALO-Quote: alle ziv. EP - 15- bis unter 25-Jahre
   1x | ALO-Quote: alle ziv. EP - 55- bis unter 65-Jahre
   1x | ALO-Quote: alle ziv. EP - Ausländer
   1x | ALO-Quote: alle ziv. EP - Frauen
   1x | ALO-Quote: alle ziv. EP - Männer
   1x | ALO-Quote: alle ziv. EP - gesamt
   1x | AMR_Anträge
   1x | AMR_Ersteinreisen
   1x | AMR_Titel
   1x | ANGELEGT_AM
   1x | ART_DES_FAHRRADS
   1x | Abt
   1x | Abwasser_Temperatur
   1x | Abwasser_pH
   1x | Aktiengesellschaften, KGaA
   1x | Algen
   1x | Alter_in_Jahren
   1x | Altersklasse
   1x | Amtliche Einwohnerzahl des statistischen Landesamtes Sachsen
   1x | Angezeigte Kurzarbeit - Beschäftigte
   1x | Angezeigte Kurzarbeit - geprüfte Anzeigen
   1x | Anmerkungen
   1x | Ansatz 2010
 (in Tsd. EUR)
   1x | Ansatz 2011
 (in Tsd. EUR)
   1x | Ansatz 2012 in €
   1x | Ansatz 2013 T€
   1x | Ansatz 2013 in €
   1x | Ansatz 2014 T€
   1x | Ansatz 2014 in €
   1x | Ansatz 2015 T€
   1x | Ansatz 2015 €
   1x | Ansatz 2018 in 
   1x | Ansatz 2019 in 
   1x | Ansatz 2020 in €
   1x | Ansatz 2021 in €
   1x | Anteil Benotung "nicht beurteilt"
   1x | Anteil Benotung "sehr gut"
   1x | Anteil Benotung "sehr schlecht"
   1x | Anteil Erneuerbarer Energieträger (Primärenergieverbrauch
   1x | Anteil Haushalte mit mittlerem Einkommen
   1x | Anteil Haushalte mit relativ geringem Einkommen - arm
   1x | Anteil Haushalte mit relativ hohem Einkommen - reich
   1x | Anteil MGH 21/22 in Prozent
   1x | Anteil MGH 22/23 in Prozent
   1x | Anteil MGH 23/24 in Prozent
   1x | Anteil MGH 24/25 in Prozent
   1x | Anteil Verfahren in Prozent
   1x | Anteil Vergabesumme in Prozent
   1x | Anteil Weg als Pkw-Mitfahrer
   1x | Anteil Weg als Pkw-Selbstfahrer
   1x | Anteil Weg mit Bus (Regionalverk.)
   1x | Anteil Weg mit Bus (Stadtverk.)
   1x | Anteil Weg mit Fahrrad
   1x | Anteil Weg mit Motorrad etc.
   1x | Anteil Weg mit S-Bahn/Bahn AG
   1x | Anteil Weg mit Straßenbahn
   1x | Anteil Weg mit sonstigem Verkehrsmittel
   1x | Anteil Weg nur zu Fuß
   1x | Anteil Wohnungen mit Bad
   1x | Anteil Wohnungen mit Balkon o.ä.
   1x | Anteil Wohnungen mit IWC
   1x | Anteil der Strom-/Wärmeerzeugung aus KWK an der Strom-/Wärmeerzeugung und Bruttostromverbrauch in % (Stand 4.6.18)
   1x | Anteil erneuerbarer Energieträger am Bruttoendenergieverbrauch in Prozent (Stand 4.6.18)
   1x | Antragsart
   1x | Antragsteller
   1x | Antragsteller/Antragsstellerin
   1x | Anzahl Anträge
   1x | Anzahl Arbeitslose - 15- bis unter 25 Jahre
   1x | Anzahl Arbeitslose - 55- und älter
   1x | Anzahl Arbeitslose - Ausländer
   1x | Anzahl Arbeitslose - Frauen
   1x | Anzahl Arbeitslose - Schwerbehinderte
   1x | Anzahl Arbeitslose - gesamt
   1x | Anzahl Arbeitslose- Langzeitarbeitslose
   1x | Anzahl SuS 21/22
   1x | Anzahl SuS 22/23
   1x | Anzahl SuS 23/24
   1x | Anzahl SuS 24/25
   1x | Anzahl SuS mit MGH 21/22
   1x | Anzahl SuS mit MGH 22/23
   1x | Anzahl SuS mit MGH 23/24
   1x | Anzahl SuS mit MGH 24/25
   1x | Anzahl leerstehende Wohnungen
   1x | Anzahl1
   1x | Anzahl_Anfragen
   1x | Anzahl_SBB_Anträge
   1x | Anzahl_eingereichte_Antraege
   1x | Anzeigen
   1x | Arbeitslose
   1x | Arbeitslosenanteil - Ausländer
   1x | Arbeitslosenanteil - Frauen
   1x | Arbeitslosenanteil - Langzeitarbeitslose
   1x | Arbeitsplatznummer
   1x | Art der Anmeldung
   1x | Art der Wärmeversorgung
   1x | Ateliers
   1x | Aufnahme (in Euro)
   1x | Aufnahmen, Über-, Rücktritte
   1x | Auftragseingang Hochbau insgesamt (in 1000 EUR)
   1x | Auftragseingang Tiefbau insgesamt (in 1000 EUR)
   1x | Auftragseingang Wohnungsbau (in 1000 EUR)
   1x | Auftragseingang gewerblicher und industrieller Hochbau (in 1000 EUR)
   1x | Auftragseingang gewerblicher und industrieller Tiefbau (in 1000 EUR)
   1x | Auftragseingang öffentlicher Hochbau (in 1000 EUR)
   1x | Ausbildungsquote (in %)
   1x | Ausland
   1x | Ausleihtyp
   1x | Ausländische Staatsbürger
   1x | Ausserplanmäßige Ausgaben
   1x | Ausserplanmäßige VE
   1x | Ausstattung
   1x | Auszubildende
   1x | Auszubildende und Studierende gesamt
   1x | Autor:in
   1x | B - berufliche Gründe bzw. Aufnahme eines Studiums einer Ausbildung; Angaben in Prozent
   1x | B-Woche_Abfahrt_(Uhrzeit)
   1x | B-Woche_Ankunft_(Uhrzeit)
   1x | BSL
   1x | BadName
   1x | BadestelleLink
   1x | Baujahr
   1x | Baujahr 1919 bis 1945
   1x | Baujahr 1946 bis 1960
   1x | Baujahr 1961 bis 1990 Plattenbau
   1x | Baujahr 1961 bis 1990 kein Plattenbau
   1x | Baujahr 1991 bis 2004
   1x | Baujahr ab 2015
   1x | Baujahr vor 1919
   1x | Baujahrgr-18-45-69-90-
   1x | Bauwerk Name
   1x | Bauwerkselement Exportnummer
   1x | Bauwerkselement Name
   1x | Bauwerkselement Niveau
   1x | Bauwerkselement Nummer
   1x | Bauwerkselement Typ
   1x | Bauwerksreferenzort Nummer
   1x | Befindlichkeitsart
   1x | Beginn
   1x | Behinderte
   1x | Bemerkung
   1x | Bemerkungen

        Angaben
        werden
        nicht erhoben

   1x | Benutzergruppe
   1x | Beratungsmöglichkeiten
   1x | Berichtigungen, sonstige Zu- und Abgänge (in Euro)
   1x | Berichtsjahr
   1x | Berichtszeitraum
   1x | Berlin gemeinsam gestalten. 
   1x | Berlin-
pass***
   1x | Berliner Schulnummer
   1x | Beschaeftigte ANG (Vollzeitaequivalente)
   1x | Beschaeftigte BEA (Vollzeitaequivalente)
   1x | Beschaeftigte gesamt (Koepfe)
   1x | Beschaeftigte gesamt (Vollzeitaequivalente)
   1x | Beschaeftigte in Teilzeit (Koepfe)
   1x | Beschaeftigte in Vollzeit (Koepfe)
   1x | Beschaeftigte maennlich (Koepfe)
   1x | Beschaeftigte weiblich (Koepfe)
   1x | Beschlussnummer
   1x | Beschränkte Ausschreibung
   1x | Bestand offene Arbeitsstellen
   1x | Besuche
   1x | Besuche 
insgesamt
   1x | Besuche außerhalb
Berlins bei
Gastspielen oder Wanderaus-
stellungen
   1x | Besucher
   1x | Besucher 
   1x | Besucher pro Leinwand
   1x | Besucher pro Sitzplatz
   1x | Besucherinnen


   1x | Betrag in EUR
   1x | Betrieb
   1x | Bezirk Mitte: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017
   1x | Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019-2020-2021-2022-2023
   1x | Bezirk Tempelhof-Schneberg:    Energieverbrauchsbericht fr 2018-2022
   1x | Bezirk Tempelhof-Schöneberg: Energieverbrauchsübersicht bezirklicher Gebäude für 2010-2019
   1x | Bibliotheksausweise
   1x | Branche
   1x | Braunkohlen
   1x | Bruttoinlandsprodukt zu Marktpreisen (in Mill. Euro)
   1x | Bruttoinlandsprodukt zu Marktpreisen je Einwohner (in Euro/Person)
   1x | Bruttoinlandsprodukt zu Marktpreisen je Erwerbstätigen (in Euro/Person)
   1x | Bruttoumsatz in Euro
   1x | Bruttowertschöpfung - gesamt (in Mill. Euro)
   1x | Bundesautobahnen (gesamt)
   1x | Bundesfrei-
willigendienst-
leistende
   1x | Bundesland
   1x | Bundesstraßen
   1x | Bundesstraßen (Baulast der Stadt)
   1x | C - familiäre Gründe (z.B. Haushaltsgründung/Scheidung); Angaben in Prozent
   1x | C Verarbeitendes Gewerbe
   1x | CO2-Emissionen (Gesamt) 2019 [t/a]
   1x | CO2-Emissionen (Gesamt) 2020 [t/a]
   1x | CO2-Emissionen (Gesamt) 2021 [t/a]
   1x | CO2-Emissionen (Gesamt) 2022 [t/a]
   1x | CO2-Emissionen (Gesamt) 2023 [t/a]
   1x | Cluster
   1x | D - Überschreiten der Miet-Obergrenze für ALG-II- und Sozialhilfeempfänger; Angaben in Prozent
   1x | DELIKT
   1x | Das weiß ich noch nicht; Angaben in Prozent
   1x | Dat
   1x | Dat_predict
   1x | Denkmalliste Berlin 
   1x | Deutsche Staatsbürger
   1x | Diplomaten-kennzeichen
   1x | Durchfluss
   1x | Durchschnittsalter Beschaeftigte gesamt
   1x | Durchschnittsalter Beschaeftigte maennlich
   1x | Durchschnittsalter Beschaeftigte weiblich
   1x | E - allgemein zu hohe Miete bzw. Betriebskosten; Angaben in Prozent
   1x | E-Mail
   1x | E-Mailadresse
   1x | E/A
   1x | EAE-Zugänge
   1x | EMR
   1x | EMail
   1x | ERFASSUNGSGRUND
   1x | E_(Lon_Dezimalgrad)
   1x | E_(Rechtswert_Gauß-Krüger)
   1x | Eco
   1x | Ehrenamtskarte
[mehr Infos durch anklicken]
   1x | Eigenmessen - Anzahl
   1x | Eigenmessen - Aussteller
   1x | Eigenmessen - Besucher
   1x | Eigentumsgarten/Hausgarten
   1x | Einkommen-Haushalt (Äquivalenz-)
   1x | Einnahmen bis Januar 2024 (T EUR)
   1x | Einnahmen bis Januar 2025 (T EUR)
   1x | Einrichtungen
   1x | Eintrag
   1x | Einweisung Krankenhaus
   1x | Einweisung Krankenhaus (kumuliert)
   1x | Einwohner (Promille)
   1x | Einwohner mit Hauptwohnsitz
   1x | Einwohner pro Leinwand
   1x | Einwohner_insgesamt_männlich
   1x | Einwohner_insgesamt_weiblich
   1x | Einzelhandelskaufkraft (Index)
   1x | Einzelhandelskaufkraft (in Mio EUR)
   1x | Einzelhandelskaufkraft (in Promille)
   1x | Einzelhandelskaufkraft pro Einwohner (in EUR)
   1x | Einzelhandelsumsatz (Index)
   1x | Einzelhandelsumsatz (in Mio EUR)
   1x | Einzelhandelsumsatz (in Promille)
   1x | Einzelhandelsumsatz pro Einwohner (in EUR)
   1x | Einzelhandelszentralität
   1x | Einzelunternehmen
   1x | Einzugsdatum
   1x | Ende
   1x | Energetischer Sanierungsfahrplan Bezirk Lichtenberg
   1x | Energetischer Sanierungsfahrplan Bezirk Tempelhof-Schöneberg
   1x | Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2018
   1x | Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2020
   1x | Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2021
   1x | Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2022
   1x | Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2023
   1x | Ente
   1x | Entfernung
   1x | Entgelt
   1x | Entleihungen
   1x | Erneuerbare Energieträger
   1x | Erreger
   1x | Erverstaendnis_Veroeffentl.
   1x | Evaluation Winterspiel- und Bewegungsangebote Berlin-Mitte Saison 2023/2024: Allgemeine Angaben
   1x | Ewo - Einwohner 31.12.2018
   1x | Ewo - Einwohner 31.12.2022
   1x | F - anderes Wohnviertel ist attraktiver; Angaben in Prozent
   1x | F Baugewerbe
   1x | FKZ
   1x | Faelle in denen Menschen leicht verletzt wurden
   1x | Faelle in denen Menschen schwer verletzt wurden
   1x | Faelle in denen ausschliesslich andere Hunde verletzt wurden
   1x | Fahrzeugart
   1x | Familienzentrum
   1x | Farb_ID
   1x | Farbe
   1x | Fertigstellungsjahr
   1x | Finanzamtsbereich
   1x | Fluggäste - Gew. Verkehr - Aufkommen Ausland
   1x | Fluggäste - Gew. Verkehr - Aufkommen Inland
   1x | Fluggäste - Gew. Verkehr - Lokalaufkommen
   1x | Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger
   1x | Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger
   1x | Fluggäste - Gew. Verkehr - Transitaufkommen
   1x | Fluggäste - Gew. Verkehr - gesamt
   1x | Fluggäste - Nichtgew. Verkehr - gesamt
   1x | Fluggäste - gesamt
   1x | Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge
   1x | Flugzeugbewegungen - Gew. Verkehr - Landungen
   1x | Flugzeugbewegungen - Gew. Verkehr - MTOW (in t)
   1x | Flugzeugbewegungen - Gew. Verkehr - Passagierflüge
   1x | Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik
   1x | Flugzeugbewegungen - Gew. Verkehr - Starts
   1x | Flugzeugbewegungen - Gew. Verkehr - gesamt
